datetime,D11Z,D12Z,D21Z,D22Z,D52Z,D81Z,D111Z,D112Z,D113Z,D114Z,Total
2024-03-16 02:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 02:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 02:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 02:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 02:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 03:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 03:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 03:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 03:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 03:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 03:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 04:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 04:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 04:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 04:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 04:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 04:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 05:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 05:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 05:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 05:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 05:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 05:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 06:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 06:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 06:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 06:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 06:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 06:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 07:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 07:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 07:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 07:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 07:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 08:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 08:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 08:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 08:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 08:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 08:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 09:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 09:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 09:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 09:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 09:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 09:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 10:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 10:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 10:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 10:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 10:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 10:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 11:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 11:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 11:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 11:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 11:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 11:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 12:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 12:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 12:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 12:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 12:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 12:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 13:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 13:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 13:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 13:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 13:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 13:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 14:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 14:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 14:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 14:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 14:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 14:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 15:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 15:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 15:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 15:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 15:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 15:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 16:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 16:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 16:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 16:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 16:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 16:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 17:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 17:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 17:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 17:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 17:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 17:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 18:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 18:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 18:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 18:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 18:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 18:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 19:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 19:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 19:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 19:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 19:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 19:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 20:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 20:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 20:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 20:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 20:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 20:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 21:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 21:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 21:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 21:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 21:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 21:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 22:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 22:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 22:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 22:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 22:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 22:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 23:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 23:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 23:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 23:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 23:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-16 23:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 00:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 00:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 00:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 00:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 00:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 00:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 01:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 01:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 01:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 01:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 01:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 01:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 02:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 02:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 02:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 02:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 02:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 02:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 03:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 03:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 03:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 03:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 03:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 03:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 04:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 04:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 04:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 04:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 04:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 04:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 05:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 05:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 05:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 05:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 05:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 05:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 06:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 06:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 06:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 06:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 06:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 06:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 07:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 07:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 07:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 07:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 07:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 08:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 08:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 08:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 08:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 08:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 08:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 09:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 09:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 09:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 09:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 09:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 09:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 10:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 10:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 10:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 10:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 10:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 10:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 11:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 11:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 11:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 11:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 11:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 11:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 12:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 12:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 12:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 12:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 12:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 12:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 13:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 13:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 13:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 13:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 13:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 13:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 14:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 14:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 14:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 14:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 14:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 14:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 15:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 15:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 15:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 15:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 15:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 15:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 16:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 16:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 16:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 16:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 16:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 16:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 17:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 17:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 17:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 17:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 17:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 17:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 18:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 18:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 18:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 18:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 18:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 18:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 19:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 19:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 19:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 19:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 19:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 19:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 20:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 20:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 20:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 20:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 20:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 20:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 21:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 21:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 21:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 21:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 21:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 21:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 22:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 22:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 22:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 22:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 22:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 22:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 23:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 23:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 23:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 23:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 23:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-17 23:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 00:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 00:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 00:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 00:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 00:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 00:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 01:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 01:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 01:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 01:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 01:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 01:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 02:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 02:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 02:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 02:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 02:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 02:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 03:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 03:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 03:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 03:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 03:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 03:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 04:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 04:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 04:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 04:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 04:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 04:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 05:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 05:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 05:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 05:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 05:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 05:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 06:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 06:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 06:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 06:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 06:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 06:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 07:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 07:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 07:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 07:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 07:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 07:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 08:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 08:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 08:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 08:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 08:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 08:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 09:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 09:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 09:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 09:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 09:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 09:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 10:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 10:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 10:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 10:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 10:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 10:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 11:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 11:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 11:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 11:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 11:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 11:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 12:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 12:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 12:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 12:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 12:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 12:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 13:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 13:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 13:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 13:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 13:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 13:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 14:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 14:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 14:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 14:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 14:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 14:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 15:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 15:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 15:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 15:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 15:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 15:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 16:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 16:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 16:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 16:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 16:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 16:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 17:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 17:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 17:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 17:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 17:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 17:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 18:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 18:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 18:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 18:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 18:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 18:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 19:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 19:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 19:20:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 19:30:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 19:40:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 19:50:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 20:00:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 20:10:00,0,0,0,0,0,0,0,0,0,0,0
2024-03-18 20:20:00,0,0,0,0,0,0,0,0,0,0,0
